_natured (forming compound adjs)	adj\nစိတ္ သေဘာထားရိွေသာ။ good -natuerd.
-ly	suff\n(နာမဝေသသနမွ ၾကိယာဝေသသနသို႔ ေျပာင္းရာတြင္ ေနာက္ဆက္)။ (နာမ္မွ နာမဝေသန သို႔ ေျပာင္းရာတြင္ေနာက္ဆက္)။ (နာမ္မွ နာမဝေသသနႏွင့္ ၾကိယာဝေသသနသို႔ ေျပာင္းရာတြင္ ေနာက္ဆက္)။
-man	coidmb\n…သား။ …သမား၊ေစာင့္၊မႉးစသည္။
-manaic	coidmb\nစိတ္ေရာဂါတစ္မ်ိဳးမ်ိဳးခံစားေနရသူကိုရည္ညႊန္းေသာစကား။
-mania	coidmb\nစိတ္ေရာဂါတစ္မ်ိဳးမ်ိဳးကိုရည္ညႊန္းေသာစကား။
-ness	suff\n(နာမ္ေျပာင္းေနာက္ဆက္)။ ျခင္း။ မႈ။
-s'	suff\nပိုင္ဆိုင္သူဗဟုဝုစ္ျဖစ္ေၾကာင္းျပေနာက္ဆက္။ ပိုင္ဆိုင္မႈကိုျပေသာေနာက္ဆက္။
(all) by myself	idm\nတစ္ကိုယ္တည္း။ ကိုယ္႔ဘာသာကိုယ္။
(as) mad as a hatter/a March hare	idm\nသြက္သြက္လည္ေအာင္ရူးေသာ။
(as) nutty as a fruit cake	IDM\n(ဗန္း ) ေပါက္သလားမေမးနဲ့ ။
(as)good as new	idm\nအသစ္တမွ်ေကာင္းေသာ။
(be, look, etc) green/ pale about the gills	idm\nေၾကာက္ရံြ႔၍သို႔ဖ်ားနာ၍မ်က္ႏွာျဖဴဖပ္ျဖဴေရာ္ျဖစ္သည္။
(be) all ears	idm\n(infml) သိပ္ၾကားသိခ်င္သည္။ နားစြင့္ထားသည္။
(be) in nmood for (doing) sth/ tdsth	idm\nဆႏၵမရိွ။ စိတ္မပါ။
(be) in the mood for (doing) sth/ tdsth	idm\nဆႏၵရိွသည္။
(be) made for sb/each other	idm\nေရွ႕သြားေနာက္လိုက္ညီသည္။ လိုက္ဖက္သည္။
(be) one's own master/mistress	idm\nအေႏွာင္အတည္းကင္းလြတ္မႈ။ လြတ္လပ္မႈ။
(be) out on one's ear	idm\nဆဲြထုတ္သည္။ အတင္းထြက္ ေစသည္။
(be/feel) at (one's) ease	idm\nေအးေအးသက္သာ။ ျငိမ္းျငိမ္းခ်မ္းခ်မ္း။
(on) easy street	idm\n(US) ေျဖာင့္ျဖဴးသာယာေသာ ဘဝ။
(put sth) in a nutshell	IDM\nတိုတိုေျပာရလွ်င္။
(right) under sb's(very)nose	IDM\nမ်က္စေအာက္မွာ ။ မ်က္စေအာက္မွာ ေျဗာင္က်က် ။
(stand) at ease	idm\n(စစ္သားမ်ား) သက္သာ အေန အထား (ရပ္သည္)။
A	art\nပထမ အဂၤလိပ္အကၡရာ
a back-seat driver	idm\nယာဉ္ေမာင္း နားကပ္၍ဆရာလုပ္ေနသူ။
a bad lot	idm\nလူဆိုးလူေတ။
a bag/ bundle of nerves	idm\nတုန္လႈပ္ေခ်ာက္ခ်ားျခင္း။ ဒူးတုန္ျခင္း။
a bald head	n\nထိပ္ေျပာင္။
a baptism of fire	idm\nစ၌ အိုးနင္းခြက္နင္း ျဖစ္ျခင္း၊ အခက္အခဲၾကံဳျခင္း။
a barber-shop quartet.	adj\nအတီးမပါ အမ်ိဳးသားေလးေယာက္တဲြအဆို။
a barrage of gunfire	n\nတရစပ္စုျပံဳပစ္ခတ္ျခင္း။
a barren fruit	n\nဖိုေသာအပင္။
a barren woman	n\nျမံဳေသာမိန္းမ။
a big cheese	idm\nအလြန္အေရးပါေသာ `ပုတ္ကိုယ္ၾကီး´။ အေကာင္။
a big fish	idm\nေနရာကြက္ကြက္ ကေလးမွာ ဩဇာရိွသူ။
a big name	idm\nအေရးပါ ေသာပုဂၢိဳလ္။ ၾကီးၾကီးမာစတာ။
a big noise	idm\nအေရးပါ ေသာပုဂၢိဳလ္။ ၾကီးၾကီးမာစတာ။
a big shot	idm\nအေရးပါ ေသာပုဂၢိဳလ္။ ၾကီးၾကီးမာစတာ။
a can of worms	idm\nျပႆနာ ဖန္တီးသည္။ ပ်ားတူအံု တုတ္ႏွင့္ထိုးသည္။
a change of heart	idm\nအေကာင္းဘက္သို႔) စိတ္သေဘာ ထားေျပာင္းလဲမႈ။
a clean sheet/slate	idm\nဘဝသစ္။ က႑သစ္။
a close call/shave	idm\nသီသီကေလး လြတ္ျခင္း။
a closed book	idm\nနကန္းတစ္လံုးမွ် မသေသာ ဘာသာရပ္။
a cordial smile handshake.cordiality	n\nအခ်ိဳရည္။ အေဖ်ာ္ရည္။
a crashing bore	idm\nအင္မတန္ ျငီးေငြ႔စရာ ေကာင္းတဲ့ လူ။
a damp squib	idm\nအဖ်ားရႉးသြားေသာ ျဖစ္ရပ္။
a devil of a sth	idm\nခက္ေသာ၊ အလြန္လက္ဝင္ ေသာ ကိစၥ။
a fact of life	idm\nေလာကတံတြာ ဓမၼတာ တရား။
a going concern	idm\nလုပ္ေပ်ာ္ေသာလုပ္ငန္း။
a hard/tough nut (to crack)	IDM(infml)\nခက္ခေသာ ျပႆနာ ။ ေခါင္းမာသူ ။
a heart of stone	idm\nအသည္းမာျခင္း။အသနားအၾကင္နာမဲ့သည့္စိတ္။
a home from home; a home away from home	idm\nကိုယ္႔အိမ္ကိုယ္႔ရာလိုေနရာ။
a hostage to fortune	idm\nမ်က္စေအာက္ကအေပ်ာက္မခံႏိုင္ေသာသူ၊အရာ။ဥအသက္။
a knotty problem	n\nရုပ္ေထြးေသာ ျပႆနာ။
à la carte	adj\n(စားေသာက္ဆိုင္တြင္) စားဖြယ္ စာရင္းမွ ေရြးခ်ယ္မွာယူရေသာ (တစ္နပ္စာ)။
à la carte	adv\n(စားေသာက္ဆိုင္တြင္) စားဖြယ္ စာရင္းမွ ေရြးခ်ယ္မွာယူရေသာ (တစ္နပ္စာ)။
à la mode	adj\nေခတ္မီ [ေသာ]။ (US) ေရခဲမုန္႔တဲြလ်က္။
à la mode	adv\nေခတ္မီ [ေသာ]။ (US) ေရခဲမုန္႔တဲြလ်က္။
a lacquered table	n\nယြန္းစားပဲြ။
A level	n\n(advanced level) (ျဗိတိန္တြင္) GCSE ထက္ အဆင့္ျမင့္၍ တကၠသိုလ္အခ်ိဳ႕က တကၠသိုလ္ဝင္ စာေမးပဲြ အျဖစ္ အသိအမွတ္ျပဳထားေသာ ပညာရည္ သတ္မွတ္ခ်က္။
a likely story	idm\nမယံုႏိုင္စရာပဲ။
a lone wolf	idm\nတစ္ကိုယ္ေတာ္သမား။
a long face	idm\nမ်က္ႏွာေသ။ မ်က္စိသငယ္နားသငယ္။
a long shot	idm\nကံစြပ္ကံညားစြန္႔ရမည့္ ကိစၥ။
a losing battle	idm\nလႈပ္ေလျမဳပ္ေလ အေျခအေန။
a lot, lots	pron\nအမ်ားၾကီး။ အမ်ားအျပား။ တစ္ပံု တစ္ေခါင္းၾကီး။ H A
a lot, lots	adv\nမ်ားစြာ။ အမ်ားၾကီး။ အမ်ားၾကီး။ မ်ားစြာ။ မၾကာမၾကာ။
a lot, lots	n\nအစု။ အသိုက္။ အသုတ္။ အပံု။ ၁ (ေလလံတင္သည့္) ပစၥည္း၊ အစု၊ အတဲြ။ အကြက္။ ကြက္လပ္။ ကုသိုလ္ကံ။ ၾကမၼာ။
a lump in ones	idm\nရင္နင့္ သည္။
a man about town	idm\nျမိဳ႕အသိုင္းအဝိုင္းႏွင့္ဝင္ဆံ့သူ။
a man of God	idm\nခရစ္ယာန္ဘုန္းေတာ္ၾကီး။
a man's man	idm\nေယာက္်ားအခ်င္းခ်င္းပင္ေလးစားေလာက္သူ။
a means tan end	idm\nရည္မွန္းခ်က္ျပည့္ေစေသာနည္းလမ္း။
a meeting of minds	idm\nအျမင္ခ်င္းတူျခင္း။ စိတ္သေဘာခ်င္းတိုက္ဆိုင္မႈ။
a millstone round one's/ sb's neck	idm\nေျဖရွင္းရန္မလြယ္သည့္ျပႆနာ။ လည္ေထာက္။ ပင္းသကား။
a mine of information	idm\nႏွင့္ပတ္သက္၍ဗဟုသုတဟင္းေလးအိုး။
a mite	adv\nနည္းနည္း။ အနည္းငယ္မွ်။
a mug's game	idm\nမိုက္မဲမႈ။
a nail in sb's/sth's coffin	idm\nမျပန္လမ္းသို႔ ပို႔လိုက္ ေသာ အရာ။ နိဂံုးခ်ဳပ္ေစေသာအရာ။
a nasty piece of work	idm\nေပါင္းရသင္းရ မေကာင္းေသာသူ။ မယံုၾကည္ရေသာသူ။
a necessary evil	IDM\nမခ်စ္ေသာ္လည္း ေအာင့္ကာ နမ္းရေသာ ကိစၥ ။
a new lease on life	idm\nတစ္ေသြးတစ္ေမြး။
a night out	IDM\nညထြက္လည္ျခင္း ။
a nod as good as a wink (to a bling horse / man )	IDM (sayin\nအရိပ္ျပ အေကာင္ထင္သည္  ။
a pain in the arse	idm\nျဂိဳဟ္ေကာင္။
a policy of appeasement	idm\nေရႊျပည္ေအးဝါဒ။
a posteriori	adj\nအက်ိဳးတရားမွသည္ ေနာက္ ေၾကာင္းျပန္ အေၾကာင္းတရား ဆင္ျခင္ေဖာ္ထုတ္ေသာ။
a posteriori	adv\nေနာက္ေၾကာင္းျပန္ သံုးသပ္လ်က္။
a priori	adv\nဒိဋႆဌသိျမင္ရေသာ အေၾကာင္းမွ အက်ိဳးျဖစ္မႈကို ဆင္ျခင္ေဖာ္ထုတ္ေသာ၊ လ်က္။ (သာဓကအားျဖင့္ ̏သူတို႔ တစ္ေန့လံုး လမ္းေလွ်ာက္ၾကရတဲ့အတြက္ ဆာေလာင္ ေနၾကမွာပဲ˝ဟု သံုးသပ္ျခင္း)။
a priori	adj\nဒိဋႆဌသိျမင္ရေသာ အေၾကာင္းမွ အက်ိဳးျဖစ္မႈကို ဆင္ျခင္ေဖာ္ထုတ္ေသာ၊ လ်က္။ (သာဓကအားျဖင့္ ̏သူတို႔ တစ္ေန့လံုး လမ္းေလွ်ာက္ၾကရတဲ့အတြက္ ဆာေလာင္ ေနၾကမွာပဲ˝ဟု သံုးသပ္ျခင္း)။
a sofa that is convertible convertible currencies .convertibility	n\nေခါက္အမိုးကား။
a walk of life	idm\nလူ႔အလႊာ။
a way	idm\nအတန္အသင့္။အေတာ္အသင့္။
A-bomb	n\nအဏုျမဴဗံုး။
A-road	n\nအျမန္ေမာင္းလမ္းမၾကီးေအာက္အဆင့္ ရိွေသာ အဓိကလမ္းမ။ (B လမ္းမထက္ ပိုက်ယ္၍ ေျဖာင့္ျဖဴးသည္။)
a/the hair of the dog	idm\nအမူးေျပေအာင္မ်က္ႏွာသစ္သည့္အရက္။
a/the hair of the dog	adj\nအသည္းထိတ္ဖြယ္ေကာင္းေသာ။
ab	n\nေရဟူဒီျပကၡဒိန္တြင္ ဆယ့္တစ္ ေျမာက္လ။
abaci	n\nေပတီးတြက္ခံုမ်ား။
aback	adv\n(စိတ္ပ်က္) အံအားသင့္သြားသည္
abacus	n\nေပသီးတြက္ခံု
abacuses	n[pl]\nေပသီးမ်ား
abaft	adv\nသေဘာ၏ပဲ့ဘက္သို႔။ပဲ့ဘက္တြင္။
abalone	n\nခရု။ စားႏိုင္ေသာ ပင္လင္ ခရု။
abalones	n\nစားႏိုင္ေသာ ပင္လယ္ခရုမ်ား။
abandon	v\nစြန္႔ခြာသည္။ ပယ္ခြာသည္။ ပစ္ထားသည္။ စြန္႔ပစ္သည္။ ပစ္ပယ္သည္။ စြန္႔လႊတ္သည္။ စြန္႔သည္။ ဖ်က္(သိမ္း)သည္။ (ဟန္)မေဆာင္ (ေတာ႔)။
abandon	n\nစိတ္လြတ္လက္လြတ္
abandoned	adj\nအရွက္မရိွေသာ။ လြတ္(ေသာ)။
abandoned	v[pt]\nစြန္႔လႊတ္ခဲ့
abandoned	v[pp]\nစြန္႔လႊတ္ခဲ့ျပီး
abandoning	v[ing]\nစြန္႔လႊတ္ေန
abandonment	n\nလက္လႊတ္လိုက္(ျခင္း)။ ပစ္ပယ္လိုက္ျခင္း။ အထီး က်န္ျခင္း။
abandons	v[sg]\nစြန္႔လႊတ္
abase	v\nနစ္နာေစသည္။ ႏွစ္သည္။ အညြန္႔ခ်ိဳးသည္။
abased	v\nနစ္နာေစခဲ့သည္။
abasement	n\nိနိမ့္က်ျခင္း။
abases	v\nႏိွမ္သည္။ နစ္နာသည္။
abash	v\nအရွက္ရေစသည္။
abashed	adj\nအေနခက္(ေသာ)။ ရွက္(ေသာ)။
abashes	v\nအရွက္ရေစသည္။
abashing	v\nအရွက္ရေစျခင္း။
abashment	n\nအရွက္ရျခင္း။
abasing	v\nနစ္နာေနသည္။
abate	v\nစဲသည္။ ေလ်ာ႔သည္။
abattoir	n\nသားသတ္ရံု။
abattoirs	n[pl]\nသားသတ္ရံုမ်ား
abbe	n\nျပင္သစ္ဘုန္းေတာ္ၾကီး။
abbess	n\n(သီလရွင္ေက်ာင္းတိုက္) ဆရာၾကီး။
abbey	n\n(ခရစ္ယာန္) ေက်ာင္းတိုက္။ ေက်ာင္းတိုက္ေဟာင္း။
abbitis	n\nသစ္ကတုတ္။ ရင္တား။
abbot	n\n(ခရစ္ယာန္) ေက်ာင္းထိုင္ဘုန္းၾကီး။ ေက်ာင္းတိုက္ ဆရာေတာ္။
abbots	n[pl]\nေက်ာင္းထိုင္ဆရာေတာ္မ်ား
abbr.	n\n(ပုဒ္၊ ပုဒ္စုကို) အတိုခ်ံဳးသည္။ အက်ဉ္းခ်ံဳးသည္။
abbreviate	n\n(ပုဒ္၊ ပုဒ္စုကို) အတိုခ်ံဳးသည္။ အက်ဉ္းခ်ံဳးသည္။
abbreviate	v\nအက်ဉ္းခ်ံဳး
abbreviated	v[pt]\nအက်ဉ္းခ်ံဳးခဲ့
abbreviated	v[pp]\nအက်ဉ္းခ်ံဳးခဲ့ျပီး
abbreviates	v[sg]\nအက်ဉ္းခ်ံဳး
abbreviating	v[ing]\nအက်ဉ္းခ်ံဳးေန
abbreviation	n\nခ်ံဳ႕ျခင္း။
abbreviations	n[pl]\nအက်ဉ္းခ်ံဳးမ်ား
ABC	n\nေအ၊ ဘီ၊ စီ စေသာ အဂၤလိပ္ အကၡရာ။ ဘာသာရပ္တစ္ရပ္၏ အေျခခံ၊ ကၾကီးေရးက။
abc	IDM\nလြယ္လြယ္ကေလးပဲ။
abdicate	v\nနန္းစြန္႔သည္။ ဥေပကၡာျပဳသည္။ လ်စ္လ်ဴရႈသည္။
abdication	n\nအလိုအေလ်ာက္ ရာထူးစြန္႔လႊတ္ျခင္း။
abdomen	n\nဝမ္းဗိုက္။ ဝမ္း။
abdominal	adj\nဝမ္းဗိုက္ပိုင္း။
abduct	v\nအဓမၼေခၚေဆာင္သည္။ ျဖားေယာင္းသည္။ လူခိုးမႈက်ဴးလြန္သည္။ ျပန္ေပးဆဲြသည္။
abducted	v[pt]\nအဓမၼေခၚေဆာင္ခဲ့
abducted	v[pp]\nအဓမၼေခၚေဆာင္ခဲ့ျပီး
abducting	v[ing]\nအဓမၼေခၚေဆာင္ေန
abduction	n\nအဓမၼ ေသြးေဆာင္ျခင္း။ လူခိုးမႈ။
abductions	n[pl]\nေသြးေဆာင္ဆြေခၚျခင္းမ်ား
abducts	v[sg]\nအဓမၼေခၚေဆာင္
abeam	adv\nသေဘၤာ ၊ေလွ အကန္႔မ်ားေပၚတြင္။သေဘၤာ၊ေလယာဉ္ ႏွင့္ေထာင့္မွန္က်ေသာ ေဘးတိုက္တန္းတန္းအရပ္တြင္။
abed	adv\nအိပ္ရာထဲတြင္။
aberrant	adj\nေဖာက္ျပန္ေသာ။ မူမမွန္ေသာ။
aberration	n\nေဖာက္ျပန္မႈ။
abet	v\n(မေကာင္းမႈက်ဴးလြန္ရာ၌) အားေပးကူညီသည္။
abettor	n\n(မေကာင္းမႈက်ဴးလြန္ရာ၌) အားေပးကူညီသူ။
abettors	n[pl]\nအားေပးကူညီသူမ်ား
abeyance	n\nဆိုင္းငံ့ထားျခင္း။ မက်င့္သံုးျခင္း။ ဥေပကၡာျပဳမႈ။
abhor	v\nစက္ဆုပ္သည္။ ရံြမုန္းသည္။
abhorrence	n\nရံြရွာျခင္း။
abhorrent	adj\nစက္ဆုပ္(ေသာ)။ ရံြရွာ(ေသာ)။
abide	v\nသည္းခံသည္။ ေနသည္။
abiding	adj\nခိုင္မာေသာ။ စဲြျမေသာ။ မေဖ်ာက္ဖ်က္ႏိုင္ေသာ။
abilities	n[pl]\nစြမ္းရည္မ်ား
ability	n\nအစြမ္း၊ စြမ္းရည္။ စြမ္းပကား။ တတ္ႏိုင္စြမ္း။ တတ္ကြ်မ္းမႈ။ အရည္အခ်င္း။
abject	adj\nဆိုးရြားေသာ။ ကမ္းကုန္ေသာ။ တြင္းဆံုးက်ေသာ။ ခြ်တ္ျခံဳက်ေသာ။ သိကၡာမဲ့ေသာ။ အဖတ္ဆယ္မရေအာင္ (ျဖစ္ေသာ)။
abjectly	adv\nလက္မိႈင္ခ်လ်က္။
abjure	v\n(ပိုင္ခြင့္၊ ခံယူခ်က္ စသည္) စြန္႔ပယ္သည္။ စြန္႔သည္။ ျငင္းပယ္သည္။
ablaze	adj\nေတာက္ေလာင္(ေသာ)။ ဟုန္းဟုန္း ေတာက္(ေသာ)။ ထိန္လင္း (ေသာ)။ ေတာက္ပ(ေသာ)။ လွ်မ္း(ေသာ)။
able	adj\nႏိုင္ (ေသာ)။ ပိုင္ႏိုင္ေသာ။ ကြ်မ္းက်င္ေသာ။ ေတာ္ေသာ။
able man	n\nကြ်မ္းက်င္ပညာရွင္။ လိုအပ္ေသာအရည္အေသြး ျပည့္ဝသူ။
able seaman	n\n(ေရတပ္) တပ္သားေက်ာ္။
able-bodied	adj\nက်န္းမာသန္စြမ္းေသာ။
abler	adj[com]\nပို၍ကြ်မ္းက်င္
ablest	adj[sup]\nအကြ်မ္းက်င္ဆံုး
ablution	n\nကိုယ္လက္ေဆးေၾကာျခင္း။ ေရကိုင္ျခင္း။ ကိုယ္လက္သန္႔စင္ခန္း (ျဗိတိသွ်အသံုး)။
ably	adv\nပိုင္ႏိုင္စြာ။
abnegate	v\nပစ္ပယ္သည္။စြန္႔လႊတ္သည္။
abnegation	n\nဖယ္ၾကဉ္ျခင္း။ စြန္႔ပယ္ ျခင္း။
abnomal	adj\nပံုမွန္မဟုတ္ေသာ။ မူမမွန္ေသာ။ ေဖာက္ျပန္ေသာ။
abnormality	n\nပံုမွန္မဟုတ္ျခင္း၊ မူမမွန္ျခင္း။
abnormally	adv\nထူးထူး ကဲကဲ။ အဆမတန္။
aboard	adv\n(ယဉ္) ေပၚသို႔။(ယဉ္) ေပၚတြင္။(ယဉ္) ေပၚ၌။
abode	n\nေနအိမ္။ အိမ္။ ဘံုဗိမာန္။
abolish	v\nဖ်က္သိမ္းသည္။ ရုပ္သိမ္းသည္။
abolished	v[pt]\nဖ်က္သိမ္းခဲ့
abolished	v[pp]\nဖ်က္သိမ္းခဲ့ျပီး
abolishes	v[sg]\nဖ်က္သိမ္း
abolishing	v[ing]\nဖ်က္သိမ္းေန
abolition	n\nဖ်က္သိမ္းျခင္း။
abolitionist	n\nဖ်က္သိမ္းေရးဝါဒီ။
abominable	adj\nစက္ဆုပ္ဖြယ္ (ေကာင္းေသာ)။ မသတီစရာ။ ဆိုးရြားေသာ။ ခ်ာေသာ။ ညံ့ေသာ။ စုတ္ပဲ့ေသာ။
abominably	adv\nမေကာင္း တေရာင္း။ ျဖစ္ကတတ္ဆန္း။ ဆိုးဆိုးရြားရြား။
abominate	v\nစက္ဆုပ္ရံြရွာသည္။
abomination	n\nမ်က္စိေနာက္စရာ။ (စိတ္)မေကာင္းစရာ။ ေအာ႔ႏွလံုး နာစရာ။
aboriginal	n\nေရွးတိုင္းရင္း။ ေရွးတိုင္ရင္းသားတို႔၏။ (ဩစေၾတးလ်) ေရွးလူမ်ိဳး။
aborigine	n\n(အထူသျဖင့္ ဩစေၾတးလ်တြင္) ကနဦးေနထိုင္ခဲ့ေသာ လူမ်ိဳး။ ေရွးတီမဆြ တိုင္းရင္းသား။ ေရွးလူမ်ိဳး။
abort	v\nကိုဝန္ဖ်က္သည္။ သားေလွ်ာသည္။ ကိုဝန္ပ်က္သည္။ ဖ်က္သိမ္းသည္။
aborted	v[pt]\nကိုယ္ဝန္ဖ်က္ခဲ့
aborted	v[pp]\nကိုယ္ဝန္ဖ်က္ခဲ့ျပီး
aborting	v[ing]\nကိုယ္ဝန္ဖ်က္ေန
abortion	n\nကိုဝန္ဖ်က္မႈလုပ္ရပ္။ ကိုဝန္ဖ်က္မႈ။ ကိုဝန္ဖ်က္ခ် (ျခင္း)။
abortionist	n\n(တရားမဝင္) ကိုဝန္ ဖ်က္ခ်ေပးသူ။
abortions	n[pl]\nကိုယ္ဝန္ဖ်က္က်ျခင္းမ်ား
abortive	adj\nမေအာင္ျမင္ေသာ။
aborts	v[sg]\nကိုယ္ဝန္ဖ်က္
abound	v\nေပါသည္။ လိႈင္သည္။ ျပည့္လွ်ံသည္။ ဆူေဝသည္။ ျပည့္ႏွက္သည္။
about	adv\nခန္႔။ ေလာက္။ သေလာက္။ (သည္းခံ ဆို) ႏိုင္ရံုတစ္မည္။ ထိုထိုဤဤ။ ဟိုဟိုသည္သည္။ ဟိုမွာသည္မွာ။ မေရမရာ။ ဟိုလိုလိုသည္လိုလို။ လတ္လ်ား လတ္လ်ား။ ဝန္းက်င္တြင္။ အနီးအနားတြင္။ ေနရာအႏံွ႕အျပားတြင္ (ျဖစ္ေပါသည္၊ ေပၚေပါက္သည္)။ ေနာက္ျပန္။ ေနာက္။ မူမွန္မွ ဆန္႔က်င္လ်က္။
about	prep\nႏွင့္ပတ္သက္ေသာ
above	adv\nအထက္တြင္။ အေပၚတြင္။ အေပၚမွာ။ အေပၚက။ အထက္။ ေရွ႕တြင္။ မိုးေပၚ(က)။ (ေကာင္းလြန္းေတာ္လြန္း၍) ေအာက္တန္းမက်။ မတူမတန္။ မာနမထားတတ္။ ကင္းရွင္း လ်က္။ လက္လွမ္း မမီ။ (ဆူညံသံမ်ားကို) ေက်ာ္၍။ (ျမစ္)အထက္ဘက္တြင္။
above	prep\nအထက္
above all	idm\nအျဖစ္ခ်င္ဆံုး။ အလိုခ်င္ဆံုး။ အေတာင့္တ ဆံုး(စသည္)။
above mentioned	adv\nအထက္တြင္ေဖာ္ျပပါ။
above oneself	idm\nဘဝင္ျမင့္သည္။ ေသြး နားထင္ ေရာက္သည္။ ေအာက္ေျခလြတ္သည္။
aboveboard	adv\nရိုးသားစြာ။
abracadabra	n\nမ်က္လွည့္ ျပကြက္ တစ္ခုေအာင္ျမင္ေစရန္ဟူ၍ မ်က္လွည့္ဆရာက ေရရြတ္ေသာ စကား။ ဥံုဖြ။
abrade	v\nပြတ္၍၊ ျခစ္၍ မ်က္ႏွာျပင္ကို ပြန္းပဲ့ ၾကမ္းေထာ္ေစသည္။
